TrErr,TrErr,coef_a,Score,,,,,
0.0065302,0.82313,0.01,100,0,0,0,0,0
0.0072614,0.73914,0.02,176,0,0,0,0,0
0.0081942,0.62446,0.03,236,0,0,0,0,0
0.0086733,0.54965,0.04,280,0,0,0,0,0
0.0091019,0.47633,0.05,364,0,0,0,0,0
0.0094801,0.41713,0.06,404,0,0,0,0,0
0.0097322,0.37136,0.07,436,0,0,0,0,0
0.0099844,0.32813,0.08,460,0,0,0,0,0
0.010085,0.29834,0.09,472,0,0,0,0,0
0.010388,0.27602,0.1,484,0,0,0,0,0
0.010489,0.26027,0.11,500,0,0,0,0,0
0.010564,0.24742,0.12,512,0,0,0,0,0
0.010615,0.23615,0.13,520,0,0,0,0,0
0.01064,0.226,0.14,532,0,0,0,0,0
0.010791,0.21801,0.15,532,0,0,0,0,0
0.010842,0.21054,0.16,536,0,0,0,0,0
0.010741,0.20442,0.17,536,0,0,0,0,0
0.01064,0.19994,0.18,540,0,0,0,0,0
0.010539,0.19733,0.19,544,0,0,0,0,0
0.010489,0.19554,0.2,544,0,0,0,0,0
0.010413,0.19419,0.21,544,0,0,0,0,0
0.010337,0.19225,0.22,544,0,0,0,0,0
0.010186,0.19106,0.23,540,0,0,0,0,0
0.010136,0.19023,0.24,544,0,0,0,0,0
0.01001,0.18822,0.25,544,0,0,0,0,0
0.0099087,0.18949,0.26,544,0,0,0,0,0
0.0098583,0.18859,0.27,544,0,0,0,0,0
0.0098331,0.18777,0.28,540,0,0,0,0,0
0.0097322,0.18658,0.29,540,0,0,0,0,0
0.0095305,0.18531,0.3,532,0,0,0,0,0
0.009354,0.18381,0.31,536,0,0,0,0,0
0.009354,0.18307,0.32,540,0,0,0,0,0
0.009354,0.18195,0.33,532,0,0,0,0,0
0.0092784,0.18187,0.34,536,0,0,0,0,0
0.0092532,0.18165,0.35,544,0,0,0,0,0
0.0089758,0.18135,0.36,540,0,0,0,0,0
0.0089254,0.18023,0.37,544,0,0,0,0,0
0.0088246,0.18008,0.38,544,0,0,0,0,0
0.0088246,0.18068,0.39,540,0,0,0,0,0
0.0087237,0.17993,0.4,540,0,0,0,0,0
0.0088246,0.17971,0.41,540,0,0,0,0,0
0.0086985,0.18001,0.42,540,0,0,0,0,0
0.0086985,0.1809,0.43,528,0,0,0,0,0
0.0087237,0.18105,0.44,540,0,0,0,0,0
0.0088498,0.18142,0.45,536,0,0,0,0,0
0.0088498,0.18075,0.46,540,0,0,0,0,0
0.0089002,0.1809,0.47,544,0,0,0,0,0
0.0088498,0.1812,0.48,548,0,0,0,0,0
0.008875,0.1809,0.49,544,0,0,0,0,0
0.008875,0.18068,0.5,544,0,0,0,0,0
0.0090011,0.18105,0.51,540,0,0,0,0,0
0.0090767,0.18098,0.52,540,0,0,0,0,0
0.0093036,0.18068,0.53,536,0,0,0,0,0
0.0093036,0.17971,0.54,536,0,0,0,0,0
0.0095305,0.17971,0.55,536,0,0,0,0,0
0.0096566,0.18023,0.56,532,0,0,0,0,0
0.0099087,0.18023,0.57,532,0,0,0,0,0
0.010262,0.18023,0.58,540,0,0,0,0,0
0.010337,0.18053,0.59,540,0,0,0,0,0
0.010489,0.18038,0.6,540,0,0,0,0,0
0.010589,0.18053,0.61,540,0,0,0,0,0
0.010741,0.18075,0.62,536,0,0,0,0,0
0.010615,0.18023,0.63,540,0,0,0,0,0
0.010716,0.18075,0.64,540,0,0,0,0,0
0.010791,0.18135,0.65,540,0,0,0,0,0
0.010993,0.18135,0.66,544,0,0,0,0,0
0.011245,0.18217,0.67,540,0,0,0,0,0
0.011422,0.18195,0.68,540,0,0,0,0,0
0.011573,0.1821,0.69,536,0,0,0,0,0
0.0118,0.18254,0.7,536,0,0,0,0,0
0.012254,0.18292,0.71,536,0,0,0,0,0
0.012556,0.18344,0.72,540,0,0,0,0,0
0.012783,0.18426,0.73,532,0,0,0,0,0
0.013262,0.18463,0.74,536,0,0,0,0,0
0.013691,0.18501,0.75,532,0,0,0,0,0
0.013968,0.18501,0.76,532,0,0,0,0,0
0.014573,0.18561,0.77,532,0,0,0,0,0
0.014901,0.18463,0.78,532,0,0,0,0,0
0.015556,0.18516,0.79,532,0,0,0,0,0
0.016035,0.18501,0.8,532,0,0,0,0,0
0.016414,0.18546,0.81,532,0,0,0,0,0
0.016691,0.18583,0.82,532,0,0,0,0,0
0.017044,0.18605,0.83,528,0,0,0,0,0
0.017372,0.18583,0.84,528,0,0,0,0,0
0.017649,0.1862,0.85,532,0,0,0,0,0
0.017851,0.18673,0.86,532,0,0,0,0,0
0.018279,0.18747,0.87,536,0,0,0,0,0
0.018809,0.18755,0.88,532,0,0,0,0,0
0.019187,0.18747,0.89,532,0,0,0,0,0
0.019666,0.18799,0.9,532,0,0,0,0,0
0.020044,0.18755,0.91,536,0,0,0,0,0
0.020372,0.18762,0.92,536,0,0,0,0,0
0.021053,0.18747,0.93,536,0,0,0,0,0
0.021658,0.18799,0.94,536,0,0,0,0,0
0.022465,0.18807,0.95,536,0,0,0,0,0
0.022893,0.18852,0.96,540,0,0,0,0,0
0.023372,0.18934,0.97,536,0,0,0,0,0
0.023952,0.19031,0.98,532,0,0,0,0,0
0.024406,0.19031,0.99,540,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
,,,,,,,,
,,,,,,,,
,,,548,,,,,
